Ministry of Foreign Affairs,,https://www.mofa.gov.lr/opportunities/opportunities/vacancies,green_verified,National government ministry,true,pending,Liberia,DEPT,https://www.mofa.gov.lr/
Ministry of Finance and Development Planning,,https://mfdp.gov.lr/,grey_none_verified,National government ministry,false,no_url,Liberia,DEPT,https://mfdp.gov.lr/
Ministry of Justice,,https://www.moj.gov.lr/opportunities/opportunities/vacancies,green_verified,National government ministry,true,pending,Liberia,DEPT,https://www.moj.gov.lr/
Ministry of Posts and Telecommunications,,https://mopt.gov.lr/news-and-press-releases/,green_verified,National government ministry,true,pending,Liberia,DEPT,https://mopt.gov.lr/
Ministry of National Defense,,https://mod.gov.lr/,grey_none_verified,National government ministry,false,no_url,Liberia,DEPT,https://mod.gov.lr/
Ministry of Internal Affairs,,https://www.mia.gov.lr/,grey_none_verified,National government ministry,false,no_url,Liberia,DEPT,https://www.mia.gov.lr/
Ministry of Education,,http://moe.gov.lr/bids-opportunities/,green_verified,National government ministry,true,pending,Liberia,DEPT,https://moe.gov.lr/
Ministry of Public Works,,https://mpw.gov.lr/opportunities/opportunities/vacancies,green_verified,National government ministry,true,pending,Liberia,DEPT,https://mpw.gov.lr/
Ministry of Agriculture,,https://www.moa.gov.lr/opportunities/opportunities/vacancies,green_verified,National government ministry,true,pending,Liberia,DEPT,https://www.moa.gov.lr/
Ministry of Health,,https://moh.gov.lr/vacancy/,green_verified,National government ministry,true,pending,Liberia,DEPT,https://moh.gov.lr/
Ministry of Commerce and Industry,,https://www.moci.gov.lr/index.php/opportunities/opportunities/vacancies,green_verified,National government ministry,true,pending,Liberia,DEPT,https://www.moci.gov.lr/
"Ministry of Information, Cultural Affairs and Tourism",,https://www.micat.gov.lr/index.php/opportunities/opportunities/vacancies,green_verified,National government ministry,true,pending,Liberia,DEPT,https://www.micat.gov.lr/
"Ministry of Lands, Mines and Energy",,https://mme.gov.lr/vacancy.php,green_verified,National government ministry,true,pending,Liberia,DEPT,https://mme.gov.lr/
Ministry of Labor,,https://mol.gov.lr/,grey_none_verified,National government ministry,false,no_url,Liberia,DEPT,https://mol.gov.lr/
Ministry of Youth and Sport,,https://www.moys.gov.lr/opportunities/opportunities/vacancies,green_verified,National government ministry,true,pending,Liberia,DEPT,https://www.moys.gov.lr/
Ministry of Transport,,https://mot.gov.lr/opportunities/opportunities/vacancies,green_verified,National government ministry,true,pending,Liberia,DEPT,https://mot.gov.lr/
"Ministry of Gender, Children and Social Protection",,https://mogcsp.gov.lr/job-vacancy/,green_verified,National government ministry,true,pending,Liberia,DEPT,https://mogcsp.gov.lr/
Ministry of State for Presidential Affairs,,https://www.emansion.gov.lr/,grey_none_verified,National government ministry,false,no_url,Liberia,DEPT,https://www.emansion.gov.lr/
World Food Programme Liberia,,https://www.wfp.org/careers,green_verified,UN World Food Programme country office,true,pending,Liberia,NGO,https://www.wfp.org/countries/liberia
United Nations Development Programme Liberia,,https://www.undp.org/liberia/jobs,green_verified,UNDP country office,true,pending,Liberia,NGO,https://www.undp.org/liberia
World Health Organization Liberia,,https://www.afro.who.int/countries/liberia,grey_none_verified,WHO African Region country office,false,no_url,Liberia,NGO,https://www.afro.who.int/countries/liberia
Plan International Liberia,,https://jobs.plan-international.org/,amber_company_route,International NGO for children's rights,true,pending,Liberia,NGO,https://plan-international.org/liberia/
Catholic Relief Services Liberia,,https://www.crs.org/about-us/careers,green_verified,Catholic Relief Services country office,true,pending,Liberia,NGO,https://www.crs.org/where-we-work/africa/liberia
Ecobank Liberia,,https://www.ecobank.com/group/about-us/careers,green_verified,Major commercial bank,true,pending,Liberia,PRIVATE,https://www.ecobank.com/lr/personal-banking/countries
Orange Liberia,,https://www.orange.com.lr/en/new-job-title.html,green_verified,Telecom operator,true,pending,Liberia,PRIVATE,https://www.orange.com.lr/
Lonestar Cell MTN,,https://lonestarcell.com/careers/,green_verified,Telecom operator (MTN),true,pending,Liberia,PRIVATE,https://lonestarcell.com/
ArcelorMittal Liberia,,https://liberia.arcelormittal.com/Career,amber_company_route,Iron ore mining company,true,pending,Liberia,PRIVATE,https://liberia.arcelormittal.com/
Firestone Liberia,,https://www.firestonenaturalrubber.com/,grey_none_verified,Rubber plantation and processing company,false,no_url,Liberia,PRIVATE,https://www.firestonenaturalrubber.com/
Bea Mountain Mining Corporation,,https://avesoro.com/,grey_none_verified,Gold mining company,false,no_url,Liberia,PRIVATE,https://avesoro.com/
GTBank Liberia,,https://www.gtbanklr.com/,grey_none_verified,Commercial bank,false,no_url,Liberia,PRIVATE,https://www.gtbanklr.com/
UBA Liberia,,https://www.ubagroup.com/careers/,amber_company_route,Commercial bank (UBA Group),true,pending,Liberia,PRIVATE,https://www.ubaliberia.com/
Monrovia Breweries Inc,,https://monbrew.com/about-us/jobs,green_verified,Brewery (Club Beer),true,pending,Liberia,PRIVATE,https://monbrew.com/
National Port Authority,,https://www.npa.gov.lr/,grey_none_verified,State-owned port authority,false,no_url,Liberia,SOE,https://www.npa.gov.lr/
Liberia Electricity Corporation,,https://lecliberia.com/about-us/careers/,green_verified,State-owned electric utility,true,pending,Liberia,SOE,https://lecliberia.com/
Liberia Water and Sewer Corporation,,https://lwsc.gov.lr/,grey_none_verified,State-owned water utility,false,no_url,Liberia,SOE,https://lwsc.gov.lr/
