First Abu Dhabi Bank,,https://www.bankfab.com/en-ae/about-fab/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,ADX,https://www.bankfab.com
ADNOC Distribution,,https://www.adnocdistribution.ae/en/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,ADX,https://www.adnocdistribution.ae
e& (Etisalat),,https://www.eand.com/en/careers.html,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,ADX,https://www.eand.com
Emirates NBD,,https://www.emiratesnbd.com/en/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,DFM,https://www.emiratesnbd.com
Emaar Properties,,https://www.emaar.com/en/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,DFM,https://www.emaar.com
Emirates Group,,https://www.emiratesgroupcareers.com,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,SOE,https://www.emiratesgroup.com
ADNOC,,https://www.adnoc.ae/en/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,SOE,https://www.adnoc.ae
Etihad Airways,,https://www.etihad.com/en/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,SOE,https://www.etihad.com
DEWA (Dubai Electricity and Water Authority),,https://www.dewa.gov.ae/en/about-us/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,SOE,https://www.dewa.gov.ae
DP World,,https://www.dpworld.com/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,SOE,https://www.dpworld.com
Federal Authority for Government Human Resources (FAHR),,https://www.fahr.gov.ae,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,DEPT,https://www.fahr.gov.ae
Ministry of Human Resources and Emiratisation,,https://www.mohre.gov.ae,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,DEPT,https://www.mohre.gov.ae
UAE Government Portal (jobs),,https://u.ae/en/information-and-services/jobs,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,DEPT,https://u.ae
Ministry of Education (UAE),,https://u.ae/en/information-and-services/jobs,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,United Arab Emirates,DEPT,https://www.moe.gov.ae
Ministry of Health and Prevention,,https://u.ae/en/information-and-services/jobs,pending verification,BRICS partner: no entity-specific vacancy page confirmed; national recruitment portal used instead (not yet live-verified),true,pending,United Arab Emirates,DEPT,https://mohap.gov.ae
Dubai Municipality,,https://www.dm.gov.ae,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,United Arab Emirates,MUNI,https://www.dm.gov.ae
Abu Dhabi Department of Municipalities and Transport,,https://www.dmt.gov.ae,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,United Arab Emirates,MUNI,https://www.dmt.gov.ae
Sharjah City Municipality,,https://www.shjmun.gov.ae,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,United Arab Emirates,MUNI,https://www.shjmun.gov.ae
Ajman Municipality and Planning Department,,https://www.am.gov.ae,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,United Arab Emirates,MUNI,https://www.am.gov.ae
Ras Al Khaimah Municipality,,https://www.rak.ae,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,United Arab Emirates,MUNI,https://www.rak.ae
Emirates Red Crescent,,https://www.rcuae.ae,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,United Arab Emirates,NGO,https://www.rcuae.ae
Dubai Cares,,https://www.dubaicares.ae,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,United Arab Emirates,NGO,https://www.dubaicares.ae
Mohammed bin Rashid Al Maktoum Global Initiatives,,https://www.mbrglobalinitiatives.ae,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,United Arab Emirates,NGO,https://www.mbrglobalinitiatives.ae
Khalifa bin Zayed Al Nahyan Foundation,,https://www.khalifafoundation.ae,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,United Arab Emirates,NGO,https://www.khalifafoundation.ae
Zayed Higher Organization for People of Determination,,https://zho.gov.ae,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,United Arab Emirates,NGO,https://zho.gov.ae
Majid Al Futtaim,,https://www.majidalfuttaim.com/en/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,PRIVATE,https://www.majidalfuttaim.com
Al-Futtaim Group,,https://www.alfuttaim.com/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,PRIVATE,https://www.alfuttaim.com
Landmark Group,,https://www.landmarkgroup.com/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,PRIVATE,https://www.landmarkgroup.com
Noon,,https://careers.noon.com,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,PRIVATE,https://www.noon.com
Careem,,https://www.careem.com/en-ae/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,PRIVATE,https://www.careem.com
Khalifa University,,https://www.ku.ac.ae/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,COLLEGE,https://www.ku.ac.ae
United Arab Emirates University,,https://www.uaeu.ac.ae,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,United Arab Emirates,COLLEGE,https://www.uaeu.ac.ae
American University of Sharjah,,https://www.aus.edu/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,COLLEGE,https://www.aus.edu
Higher Colleges of Technology,,https://www.hct.ac.ae/en/careers,pending verification,BRICS partner: careers page from public sources; not yet live-verified,true,pending,United Arab Emirates,COLLEGE,https://www.hct.ac.ae
Zayed University,,https://www.zu.ac.ae,amber_company_route,BRICS partner: official website only (no confirmed vacancies page); not yet live-verified,true,pending,United Arab Emirates,COLLEGE,https://www.zu.ac.ae
